log_time_ns,_full_text,_type,theta,x,y
1714839290407825598,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00488454116614069,-0.05682206153869629,-1.2200088500976562
1714839290412097798,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004873797270563295,-0.05684691667556763,-1.2199995517730713
1714839290416252852,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004887680211274057,-0.056822001934051514,-1.22001051902771
1714839290420138741,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004891800317174798,-0.056806206703186035,-1.2200195789337158
1714839290426653961,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004871308745825712,-0.056846439838409424,-1.2199935913085938
1714839290429075713,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004872630096133337,-0.05683755874633789,-1.219999074935913
1714839290433800140,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004873874932411805,-0.056847333908081055,-1.2200024127960205
1714839290439174142,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004880472062846482,-0.0568271279335022,-1.2200077772140503
1714839290440958102,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048680572338891965,-0.05684691667556763,-1.219996452331543
1714839290446212675,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00488152179374433,-0.05683469772338867,-1.220005989074707
1714839290449115690,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004860407491319929,-0.05687016248703003,-1.2199881076812744
1714839290456846268,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004884096975370811,-0.05683070421218872,-1.2200038433074951
1714839290458806666,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004857865125751131,-0.05687284469604492,-1.219984769821167
1714839290462454439,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004865503069087459,-0.05685842037200928,-1.2199950218200684
1714839290466601870,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004898436735938434,-0.056793272495269775,-1.220032811164856
1714839290470399810,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004887294550015817,-0.05681896209716797,-1.2200133800506592
1714839290474421470,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00486437061551954,-0.05685722827911377,-1.2199890613555908
1714839290478376572,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048702457521028085,-0.05685079097747803,-1.220000147819519
1714839290482717403,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004883742620588666,-0.056821465492248535,-1.220017671585083
1714839290489167768,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00487331087412213,-0.05683809518814087,-1.2200005054473877
1714839290491297680,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004858238318789524,-0.05687767267227173,-1.2199748754501343
1714839290495704618,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00485877733487076,-0.056874871253967285,-1.2199875116348267
1714839290500869469,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004855920080233274,-0.05687195062637329,-1.2199867963790894
1714839290503552373,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004871658410560056,-0.05684715509414673,-1.2200000286102295
1714839290507625821,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004875071201280497,-0.056837379932403564,-1.2200112342834473
1714839290511778362,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004886657074854218,-0.05681484937667847,-1.2200117111206055
1714839290518818428,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004892181296673858,-0.056808412075042725,-1.2200291156768799
1714839290520445427,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048784136411416275,-0.05683279037475586,-1.2200099229812622
1714839290525284172,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004862650403846972,-0.056868135929107666,-1.2199841737747192
1714839290528585309,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004885503471083723,-0.056823551654815674,-1.2200087308883667
1714839290532764691,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004888727968050907,-0.056809306144714355,-1.2200183868408203
1714839290536908996,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004872550271360363,-0.05684804916381836,-1.2199949026107788
1714839290541942475,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004876612372821021,-0.05682992935180664,-1.2200100421905518
1714839290547911007,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004885654593302281,-0.05682551860809326,-1.2200149297714233
1714839290551629786,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004891520055832292,-0.056812405586242676,-1.2200229167938232
1714839290554085443,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004859232711046966,-0.05687272548675537,-1.2199790477752686
1714839290558179983,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004887347610650212,-0.05681788921356201,-1.220015525817871
1714839290561819779,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004870616829217667,-0.05684715509414673,-1.2199963331222534
1714839290566081799,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048742797406907,-0.056835055351257324,-1.2200062274932861
1714839290570226534,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004898442836767023,-0.05679064989089966,-1.2200270891189575
1714839290574136299,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048752909508252545,-0.05683821439743042,-1.2200031280517578
1714839290580433732,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004875825749633415,-0.05683630704879761,-1.2200095653533936
1714839290583482717,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004883562972835229,-0.056824564933776855,-1.2200120687484741
1714839290587358587,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004883232791047944,-0.05682384967803955,-1.2200136184692383
1714839290591046967,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004866968666274232,-0.05685240030288696,-1.2199904918670654
1714839290595055302,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004874469405707931,-0.05684089660644531,-1.2200069427490234
1714839290599329846,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004892525322432072,-0.05679762363433838,-1.2200301885604858
1714839290603634917,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004877510567855801,-0.05684089660644531,-1.2199974060058594
1714839290611570359,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048754481803605304,-0.05683541297912598,-1.2200051546096802
1714839290612208312,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004867984641675104,-0.056856751441955566,-1.2199938297271729
